path,gardiner_code,source_image,class_idx
Dataset/Manual/Preprocessed/3/030315_N35.png,N35,3,74
Dataset/Manual/Preprocessed/3/030287_G35.png,G35,3,38
Dataset/Manual/Preprocessed/22/220306_E34.png,E34,22,19
Dataset/Manual/Preprocessed/5/050234_S29.png,S29,5,97
Dataset/Manual/Preprocessed/21/210274_M17.png,M17,21,54
Dataset/Manual/Preprocessed/7/070094_U33.png,U33,7,107
Dataset/Manual/Preprocessed/21/210009_S29.png,S29,21,97
Dataset/Manual/Preprocessed/9/090034_D4.png,D4,9,10
Dataset/Manual/Preprocessed/3/030067_G40.png,G40,3,43
Dataset/Manual/Preprocessed/22/220293_D46.png,D46,22,11
Dataset/Manual/Preprocessed/5/050250_M17.png,M17,5,54
Dataset/Manual/Preprocessed/7/070238_M17.png,M17,7,54
Dataset/Manual/Preprocessed/22/220344_E34.png,E34,22,19
Dataset/Manual/Preprocessed/21/210008_M17.png,M17,21,54
Dataset/Manual/Preprocessed/20/200289_W24.png,W24,20,121
Dataset/Manual/Preprocessed/20/200205_N35.png,N35,20,74
Dataset/Manual/Preprocessed/5/050238_R8.png,R8,5,94
Dataset/Manual/Preprocessed/39/390104_N35.png,N35,39,74
Dataset/Manual/Preprocessed/21/210072_D21.png,D21,21,5
Dataset/Manual/Preprocessed/20/200273_G43.png,G43,20,44
Dataset/Manual/Preprocessed/3/030445_G43.png,G43,3,44
Dataset/Manual/Preprocessed/5/050376_G17.png,G17,5,33
Dataset/Manual/Preprocessed/21/210052_I10.png,I10,21,48
Dataset/Manual/Preprocessed/39/390157_V7.png,V7,39,116
Dataset/Manual/Preprocessed/20/200323_Y2.png,Y2,20,125
Dataset/Manual/Preprocessed/7/070242_D2.png,D2,7,4
Dataset/Manual/Preprocessed/3/030084_N29.png,N29,3,71
Dataset/Manual/Preprocessed/39/390347_G17.png,G17,39,33
Dataset/Manual/Preprocessed/23/230380_M23.png,M23,23,58
Dataset/Manual/Preprocessed/39/390255_V31.png,V31,39,113
Dataset/Manual/Preprocessed/3/030088_S29.png,S29,3,97
Dataset/Manual/Preprocessed/41/410170_N35.png,N35,41,74
Dataset/Manual/Preprocessed/9/090385_W11.png,W11,9,117
Dataset/Manual/Preprocessed/23/230418_G17.png,G17,23,33
Dataset/Manual/Preprocessed/21/210093_N35.png,N35,21,74
Dataset/Manual/Preprocessed/41/410037_G43.png,G43,41,44
Dataset/Manual/Preprocessed/5/050414_G43.png,G43,5,44
Dataset/Manual/Preprocessed/39/390065_V31.png,V31,39,113
Dataset/Manual/Preprocessed/3/030072_N35.png,N35,3,74
Dataset/Manual/Preprocessed/20/200223_D4.png,D4,20,10
Dataset/Manual/Preprocessed/9/090414_D4.png,D4,9,10
Dataset/Manual/Preprocessed/7/070200_W24.png,W24,7,121
Dataset/Manual/Preprocessed/23/230009_M17.png,M17,23,54
Dataset/Manual/Preprocessed/39/390358_D36.png,D36,39,8
Dataset/Manual/Preprocessed/41/410399_N35.png,N35,41,74
Dataset/Manual/Preprocessed/21/210233_M17.png,M17,21,54
Dataset/Manual/Preprocessed/39/390168_D35.png,D35,39,7
Dataset/Manual/Preprocessed/7/070445_M17.png,M17,7,54
Dataset/Manual/Preprocessed/22/220124_N18.png,N18,22,69
Dataset/Manual/Preprocessed/21/210060_M17.png,M17,21,54
Dataset/Manual/Preprocessed/20/200134_G43.png,G43,20,44
Dataset/Manual/Preprocessed/5/050006_V4.png,V4,5,114
Dataset/Manual/Preprocessed/5/050332_S29.png,S29,5,97
Dataset/Manual/Preprocessed/22/220364_G17.png,G17,22,33
Dataset/Manual/Preprocessed/5/050378_G43.png,G43,5,44
Dataset/Manual/Preprocessed/41/410256_V31.png,V31,41,113
Dataset/Manual/Preprocessed/20/200075_N37.png,N37,20,76
Dataset/Manual/Preprocessed/23/230281_O50.png,O50,23,85
Dataset/Manual/Preprocessed/3/030158_D21.png,D21,3,5
Dataset/Manual/Preprocessed/20/200023_V13.png,V13,20,109
Dataset/Manual/Preprocessed/7/070410_G1.png,G1,7,31
Dataset/Manual/Preprocessed/39/390050_E9.png,E9,39,20
Dataset/Manual/Preprocessed/41/410064_G43.png,G43,41,44
Dataset/Manual/Preprocessed/39/390121_N35.png,N35,39,74
Dataset/Manual/Preprocessed/5/050220_U1.png,U1,5,104
Dataset/Manual/Preprocessed/21/210198_M17.png,M17,21,54
Dataset/Manual/Preprocessed/22/220239_S29.png,S29,22,97
Dataset/Manual/Preprocessed/22/220056_O50.png,O50,22,85
Dataset/Manual/Preprocessed/7/070060_V13.png,V13,7,109
Dataset/Manual/Preprocessed/20/200091_S29.png,S29,20,97
Dataset/Manual/Preprocessed/7/070355_V31.png,V31,7,113
Dataset/Manual/Preprocessed/22/220363_U15.png,U15,22,105
Dataset/Manual/Preprocessed/21/210056_D35.png,D35,21,7
Dataset/Manual/Preprocessed/9/090144_P8.png,P8,9,88
Dataset/Manual/Preprocessed/21/210118_Q7.png,Q7,21,92
Dataset/Manual/Preprocessed/22/220151_N37.png,N37,22,76
Dataset/Manual/Preprocessed/22/220152_N35.png,N35,22,74
Dataset/Manual/Preprocessed/21/210226_G43.png,G43,21,44
Dataset/Manual/Preprocessed/21/210104_M17.png,M17,21,54
Dataset/Manual/Preprocessed/41/410207_D36.png,D36,41,8
Dataset/Manual/Preprocessed/41/410344_G17.png,G17,41,33
Dataset/Manual/Preprocessed/9/090286_V24.png,V24,9,110
Dataset/Manual/Preprocessed/5/050360_N1.png,N1,5,66
Dataset/Manual/Preprocessed/3/030268_D21.png,D21,3,5
Dataset/Manual/Preprocessed/23/230130_D21.png,D21,23,5
Dataset/Manual/Preprocessed/41/410121_N37.png,N37,41,76
Dataset/Manual/Preprocessed/39/390273_I9.png,I9,39,49
Dataset/Manual/Preprocessed/22/220096_S29.png,S29,22,97
Dataset/Manual/Preprocessed/22/220052_G25.png,G25,22,35
Dataset/Manual/Preprocessed/9/090177_N35.png,N35,9,74
Dataset/Manual/Preprocessed/23/230313_V13.png,V13,23,109
Dataset/Manual/Preprocessed/7/070315_N35.png,N35,7,74
Dataset/Manual/Preprocessed/9/090095_N35.png,N35,9,74
Dataset/Manual/Preprocessed/20/200046_N35.png,N35,20,74
Dataset/Manual/Preprocessed/3/030185_N35.png,N35,3,74
Dataset/Manual/Preprocessed/41/410312_V28.png,V28,41,111
Dataset/Manual/Preprocessed/23/230400_Q3.png,Q3,23,91
Dataset/Manual/Preprocessed/21/210031_N35.png,N35,21,74
Dataset/Manual/Preprocessed/3/030016_M17.png,M17,3,54
Dataset/Manual/Preprocessed/9/090198_N35.png,N35,9,74
Dataset/Manual/Preprocessed/22/220076_P1.png,P1,22,86
Dataset/Manual/Preprocessed/9/090062_G35.png,G35,9,38
Dataset/Manual/Preprocessed/22/220001_D21.png,D21,22,5
Dataset/Manual/Preprocessed/9/090243_D21.png,D21,9,5
Dataset/Manual/Preprocessed/5/050321_N35.png,N35,5,74
Dataset/Manual/Preprocessed/21/210291_M17.png,M17,21,54
Dataset/Manual/Preprocessed/3/030397_N35.png,N35,3,74
Dataset/Manual/Preprocessed/39/390098_V31.png,V31,39,113
Dataset/Manual/Preprocessed/5/050405_G35.png,G35,5,38
Dataset/Manual/Preprocessed/39/390196_S29.png,S29,39,97
Dataset/Manual/Preprocessed/21/210184_S29.png,S29,21,97
Dataset/Manual/Preprocessed/5/050007_G35.png,G35,5,38
Dataset/Manual/Preprocessed/41/410380_M17.png,M17,41,54
Dataset/Manual/Preprocessed/3/030103_D1.png,D1,3,0
Dataset/Manual/Preprocessed/22/220315_V31.png,V31,22,113
Dataset/Manual/Preprocessed/22/220065_N18.png,N18,22,69
Dataset/Manual/Preprocessed/7/070192_U15.png,U15,7,105
Dataset/Manual/Preprocessed/22/220161_G17.png,G17,22,33
Dataset/Manual/Preprocessed/7/070091_Y5.png,Y5,7,127
Dataset/Manual/Preprocessed/22/220053_O50.png,O50,22,85
Dataset/Manual/Preprocessed/3/030335_N35.png,N35,3,74
Dataset/Manual/Preprocessed/3/030392_V4.png,V4,3,114
Dataset/Manual/Preprocessed/21/210214_G1.png,G1,21,31
Dataset/Manual/Preprocessed/41/410402_G17.png,G17,41,33
Dataset/Manual/Preprocessed/21/210087_N35.png,N35,21,74
Dataset/Manual/Preprocessed/3/030341_Z1.png,Z1,3,128
Dataset/Manual/Preprocessed/21/210137_D21.png,D21,21,5
Dataset/Manual/Preprocessed/7/070252_X1.png,X1,7,123
Dataset/Manual/Preprocessed/20/200190_S29.png,S29,20,97
Dataset/Manual/Preprocessed/5/050104_V13.png,V13,5,109
Dataset/Manual/Preprocessed/9/090371_N35.png,N35,9,74
Dataset/Manual/Preprocessed/41/410287_I9.png,I9,41,49
Dataset/Manual/Preprocessed/5/050116_Q1.png,Q1,5,90
Dataset/Manual/Preprocessed/20/200142_N35.png,N35,20,74
Dataset/Manual/Preprocessed/22/220419_U33.png,U33,22,107
Dataset/Manual/Preprocessed/7/070025_N35.png,N35,7,74
Dataset/Manual/Preprocessed/7/070325_N35.png,N35,7,74
Dataset/Manual/Preprocessed/22/220357_V28.png,V28,22,111
Dataset/Manual/Preprocessed/21/210155_D21.png,D21,21,5
Dataset/Manual/Preprocessed/39/390367_G43.png,G43,39,44
Dataset/Manual/Preprocessed/23/230140_G17.png,G17,23,33
